"prompt","ground_truth_hard","sensitivity_flag","target","reason","complexity_level","complexity_score","input_tokens_est"
"What is the capital of Japan?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.195; confidence=0.805; complexity=LOW; sensitivity=HIGH -> small_local","low","0.19547185986124738","7"
"How many continents are there?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.186; confidence=0.814; complexity=LOW; sensitivity=LOW -> small_local","low","0.18572279894418386","7"
"What is 15 multiplied by 8?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.177; confidence=0.823; complexity=LOW; sensitivity=LOW -> small_local","low","0.177396181059299","6"
"Who wrote Romeo and Juliet?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.160; confidence=0.840; complexity=LOW; sensitivity=HIGH -> small_local","low","0.1601758731704882","6"
"What is the chemical symbol for gold?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.307; confidence=0.693; complexity=LOW; sensitivity=LOW -> small_local","low","0.30682391821871013","9"
"How many days are in a leap year?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.283; confidence=0.717; complexity=LOW; sensitivity=LOW -> small_local","low","0.28278710475131175","8"
"What planet is closest to the Sun?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.270; confidence=0.730; complexity=LOW; sensitivity=HIGH -> small_local","low","0.2701455015508145","8"
"What is the largest ocean on Earth?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.282; confidence=0.718; complexity=LOW; sensitivity=HIGH -> small_local","low","0.2820613199015293","8"
"Who painted the Mona Lisa?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.152; confidence=0.848; complexity=LOW; sensitivity=LOW -> small_local","low","0.15231673798694945","6"
"What is the boiling point of water in Celsius?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.492; confidence=0.508; complexity=LOW; sensitivity=HIGH -> small_local","low","0.4918195311954726","11"
"How many sides does a hexagon have?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.282; confidence=0.718; complexity=LOW; sensitivity=LOW -> small_local","low","0.2820613199015293","8"
"What year did World War II end?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.236; confidence=0.764; complexity=LOW; sensitivity=LOW -> small_local","low","0.23635665305772224","7"
"What is the speed of light in vacuum?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.334; confidence=0.666; complexity=LOW; sensitivity=LOW -> small_local","low","0.3335484961226872","9"
"What is the tallest mountain in the world?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.403; confidence=0.597; complexity=LOW; sensitivity=LOW -> small_local","low","0.40274152418411224","10"
"How many bytes are in a kilobyte?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.259; confidence=0.741; complexity=LOW; sensitivity=LOW -> small_local","low","0.25855178671371815","8"
"What language is spoken in Brazil?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.247; confidence=0.753; complexity=LOW; sensitivity=HIGH -> small_local","low","0.24662104925416417","8"
"What is the square root of 144?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.236; confidence=0.764; complexity=LOW; sensitivity=LOW -> small_local","low","0.23635665305772224","7"
"Who invented the telephone?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.144; confidence=0.856; complexity=LOW; sensitivity=LOW -> small_local","low","0.14433388320623441","6"
"What is H2O commonly known as?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.205; confidence=0.795; complexity=LOW; sensitivity=LOW -> small_local","low","0.20501914073012206","7"
"How many planets are in our solar system?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.388; confidence=0.612; complexity=LOW; sensitivity=LOW -> small_local","low","0.38848621262278304","10"
"What is the currency of the United Kingdom?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.417; confidence=0.583; complexity=LOW; sensitivity=HIGH -> small_local","low","0.4171630842241627","10"
"What color do you get by mixing red and blue?","False","False","small_local","classifier:small_sufficient=False; complexity_score=0.508; confidence=0.508; complexity=LOW; sensitivity=LOW -> small_local","low","0.5076197365942953","11"
