prompt,complexity_label,small_sufficient,large_sufficient,notes
"What is the capital of Japan?","low","true","true","cosine_sim=0.9895"
"How many continents are there?","low","true","true","cosine_sim=0.9451"
"What is 15 multiplied by 8?","low","true","true","cosine_sim=0.9824"
"Who wrote Romeo and Juliet?","low","true","true","cosine_sim=0.8843"
"What is the chemical symbol for gold?","low","true","true","cosine_sim=0.9132"
"How many days are in a leap year?","low","true","true","cosine_sim=0.8834"
"What planet is closest to the Sun?","low","true","true","cosine_sim=0.9824"
"What is the largest ocean on Earth?","low","true","true","cosine_sim=0.8975"
"Who painted the Mona Lisa?","low","true","true","cosine_sim=0.8912"
"What is the boiling point of water in Celsius?","low","true","true","cosine_sim=0.9078"
"How many sides does a hexagon have?","low","true","true","cosine_sim=0.9105"
"What year did World War II end?","high","false","true","cosine_sim=0.8122"
"What is the speed of light in vacuum?","low","true","true","cosine_sim=0.9230"
"What is the tallest mountain in the world?","low","true","true","cosine_sim=0.9394"
"How many bytes are in a kilobyte?","low","true","true","cosine_sim=0.8684"
"What language is spoken in Brazil?","low","true","true","cosine_sim=0.9642"
"What is the square root of 144?","high","false","true","cosine_sim=0.7664"
"Who invented the telephone?","low","true","true","cosine_sim=0.9080"
"What is H2O commonly known as?","high","false","true","cosine_sim=0.4083"
"How many planets are in our solar system?","low","true","true","cosine_sim=0.9698"
"What is the currency of the United Kingdom?","low","true","true","cosine_sim=0.9247"
"What color do you get by mixing red and blue?","high","false","true","cosine_sim=0.8284"
"How many minutes are in three hours?","high","false","true","cosine_sim=0.8071"
"What is the capital of Australia?","low","true","true","cosine_sim=0.8797"
"Who was the first president of the United States?","low","true","true","cosine_sim=0.9556"
"What is the freezing point of water in Fahrenheit?","low","true","true","cosine_sim=0.9881"
"How many legs does a spider have?","low","true","true","cosine_sim=1.0000"
"What is the largest mammal?","low","true","true","cosine_sim=0.9653"
"What gas do plants absorb from the atmosphere?","low","true","true","cosine_sim=0.8905"
"How many states are in the United States?","high","false","true","cosine_sim=0.7161"
"What is the smallest prime number?","high","false","true","cosine_sim=0.8385"
"Who developed the theory of relativity?","low","true","true","cosine_sim=0.8815"
"What is the main ingredient in bread?","low","true","true","cosine_sim=0.9787"
"How many hours are in a day?","low","true","true","cosine_sim=1.0000"
"What is the capital of Canada?","low","true","true","cosine_sim=1.0000"
"What instrument has 88 keys?","low","true","true","cosine_sim=0.8969"
"How many centimeters are in one meter?","high","false","true","cosine_sim=0.8491"
"What is the chemical formula for table salt?","low","true","true","cosine_sim=0.9463"
"Who wrote the Harry Potter series?","high","false","true","cosine_sim=0.7401"
"What is the largest country by area?","low","true","true","cosine_sim=0.9734"
"How many weeks are in a year?","high","false","true","cosine_sim=0.7719"
"What is the primary language of Egypt?","low","true","true","cosine_sim=0.9203"
"What is 100 divided by 4?","low","true","true","cosine_sim=1.0000"
"What organ pumps blood through the body?","high","false","true","cosine_sim=0.7601"
"How many degrees are in a right angle?","low","true","true","cosine_sim=0.9876"
"What is the capital of Italy?","low","true","true","cosine_sim=1.0000"
"Who discovered penicillin?","low","true","true","cosine_sim=0.8682"
"What is the hardest natural substance?","low","true","true","cosine_sim=0.8556"
"How many players are on a soccer team?","high","false","true","cosine_sim=0.7771"
"What is the atomic number of carbon?","low","true","true","cosine_sim=0.8846"
"What is the capital of Spain?","low","true","true","cosine_sim=1.0000"
"Explain how photosynthesis works in simple terms.","high","false","true","cosine_sim=0.6622"
"What is the difference between weather and climate?","low","true","true","cosine_sim=0.9310"
"Describe what an API is to a non-technical person.","low","true","true","cosine_sim=0.9083"
"How does a refrigerator keep food cold?","low","true","true","cosine_sim=0.9014"
"Explain the concept of supply and demand.","low","true","true","cosine_sim=0.9016"
"What is machine learning in plain English?","low","true","true","cosine_sim=0.8609"
"Describe how vaccines help the immune system.","low","true","true","cosine_sim=0.9174"
"What is the difference between RAM and storage?","low","true","true","cosine_sim=0.9015"
"Explain how earthquakes happen.","low","true","true","cosine_sim=0.8920"
"What does inflation mean for everyday consumers?","high","false","true","cosine_sim=0.8199"
"Describe the water cycle briefly.","low","true","true","cosine_sim=0.9623"
"How does GPS determine your location?","low","true","true","cosine_sim=0.9688"
"Explain what a database index does.","low","true","true","cosine_sim=0.9398"
"What is the difference between HTTP and HTTPS?","low","true","true","cosine_sim=0.9409"
"Describe how electric cars differ from gas cars.","low","true","true","cosine_sim=0.9022"
"Explain what a neural network is at a high level.","low","true","true","cosine_sim=0.9246"
"How do compilers turn code into programs?","high","false","true","cosine_sim=0.8287"
"What is the purpose of a checksum?","low","true","true","cosine_sim=0.9274"
"Explain how interest rates affect borrowing costs.","high","false","true","cosine_sim=0.8203"
"Describe what technical debt means in software.","low","true","true","cosine_sim=0.8740"
"How does public key encryption work conceptually?","low","true","true","cosine_sim=0.8896"
"Explain the difference between precision and recall.","low","true","true","cosine_sim=0.9232"
"What happens during a solar eclipse?","high","false","true","cosine_sim=0.7621"
"Describe how load balancing improves web apps.","low","true","true","cosine_sim=0.8996"
"Explain what technical analysis means in finance.","low","true","true","cosine_sim=0.9220"
"How does a hash table provide fast lookups?","low","true","true","cosine_sim=0.8853"
"What is the difference between TCP and UDP?","low","true","true","cosine_sim=0.9380"
"Explain how a thermostat maintains temperature.","low","true","true","cosine_sim=0.9387"
"Describe what technical writing aims to accomplish.","low","true","true","cosine_sim=0.8781"
"How does caching reduce latency?","low","true","true","cosine_sim=0.9261"
"Explain the role of mitochondria in cells.","low","true","true","cosine_sim=0.8677"
"What is the difference between correlation and causation?","low","true","true","cosine_sim=0.9371"
"Describe how a CDN speeds up websites.","low","true","true","cosine_sim=0.8762"
"Explain what technical interviews typically assess.","low","true","true","cosine_sim=0.9275"
"How does noise cancellation work in headphones?","low","true","true","cosine_sim=0.9628"
"What is the difference between a stack and a queue?","low","true","true","cosine_sim=0.8682"
"Explain how solar panels generate electricity.","low","true","true","cosine_sim=0.9236"
"Describe what technical due diligence involves.","low","true","true","cosine_sim=0.9489"
"How does a bloom filter save memory?","low","true","true","cosine_sim=0.8887"
"Explain the basics of object-oriented programming.","low","true","true","cosine_sim=0.9678"
"What is the difference between latency and throughput?","low","true","true","cosine_sim=0.9607"
"Describe how firewalls protect networks.","low","true","true","cosine_sim=0.9442"
"Explain what technical specifications document.","high","false","true","cosine_sim=0.8228"
"How does a binary search algorithm work?","low","true","true","cosine_sim=0.8789"
"What is the difference between AI and automation?","low","true","true","cosine_sim=0.9505"
"Describe how version control helps teams collaborate.","low","true","true","cosine_sim=0.9042"
"Explain what technical risk means in projects.","low","true","true","cosine_sim=0.9505"
"How does a message queue decouple services?","low","true","true","cosine_sim=0.9260"
"What is the difference between SQL and NoSQL?","low","true","true","cosine_sim=0.9047"
"Describe how technical standards improve interoperability.","low","true","true","cosine_sim=0.9665"
