"prompt","complexity_label","small_sufficient","large_sufficient","notes"
"What is the capital of Japan?","low","True","True","cosine_sim=0.9895"
"How many continents are there?","low","True","True","cosine_sim=0.9451"
"What is 15 multiplied by 8?","low","True","True","cosine_sim=0.9824"
"Who wrote Romeo and Juliet?","low","True","True","cosine_sim=0.8843"
"What is the chemical symbol for gold?","low","True","True","cosine_sim=0.9132"
"How many days are in a leap year?","low","True","True","cosine_sim=0.8834"
"What planet is closest to the Sun?","low","True","True","cosine_sim=0.9824"
"What is the largest ocean on Earth?","low","True","True","cosine_sim=0.8975"
"Who painted the Mona Lisa?","low","True","True","cosine_sim=0.8912"
"What is the boiling point of water in Celsius?","low","True","True","cosine_sim=0.9078"
"How many sides does a hexagon have?","low","True","True","cosine_sim=0.9105"
"What year did World War II end?","low","True","True","cosine_sim=0.8122; method=short_substring_match; short_output=true; substring_match=true"
"What is the speed of light in vacuum?","low","True","True","cosine_sim=0.9230"
"What is the tallest mountain in the world?","low","True","True","cosine_sim=0.9394"
"How many bytes are in a kilobyte?","low","True","True","cosine_sim=0.8684"
"What language is spoken in Brazil?","low","True","True","cosine_sim=0.9642"
"What is the square root of 144?","low","True","True","cosine_sim=0.7664; method=short_substring_match; short_output=true; substring_match=true"
"Who invented the telephone?","low","True","True","cosine_sim=0.9080"
"What is H2O commonly known as?","low","True","True","cosine_sim=0.4083; method=short_substring_match; short_output=true; substring_match=true"
"How many planets are in our solar system?","low","True","True","cosine_sim=0.9698"
"What is the currency of the United Kingdom?","low","True","True","cosine_sim=0.9247"
"What color do you get by mixing red and blue?","low","true","true","cosine_sim=0.8284; method=short_substring_match; short_output=true; substring_match=true"
"How many minutes are in three hours?","high","False","True","cosine_sim=0.8071; method=long_cosine; short_output=false; substring_match=false"
"What is the capital of Australia?","low","True","True","cosine_sim=0.8797"
"Who was the first president of the United States?","low","True","True","cosine_sim=0.9556"
"What is the freezing point of water in Fahrenheit?","low","True","True","cosine_sim=0.9881"
"How many legs does a spider have?","low","True","True","cosine_sim=1.0000"
"What is the largest mammal?","low","True","True","cosine_sim=0.9653"
"What gas do plants absorb from the atmosphere?","low","True","True","cosine_sim=0.8905"
"How many states are in the United States?","low","True","True","cosine_sim=0.7161; method=short_substring_match; short_output=true; substring_match=true"
"What is the smallest prime number?","low","True","True","cosine_sim=0.8385; method=short_substring_match; short_output=true; substring_match=true"
"Who developed the theory of relativity?","low","True","True","cosine_sim=0.8815"
"What is the main ingredient in bread?","low","True","True","cosine_sim=0.9787"
"How many hours are in a day?","low","True","True","cosine_sim=1.0000"
"What is the capital of Canada?","low","True","True","cosine_sim=1.0000"
"What instrument has 88 keys?","low","True","True","cosine_sim=0.8969"
"How many centimeters are in one meter?","low","true","true","cosine_sim=0.8491; method=factual_substring_match; short_output=false; substring_match=true"
"What is the chemical formula for table salt?","low","True","True","cosine_sim=0.9463"
"Who wrote the Harry Potter series?","low","true","true","cosine_sim=0.7401; method=short_substring_match; short_output=true; substring_match=true"
"What is the largest country by area?","low","True","True","cosine_sim=0.9734"
"How many weeks are in a year?","low","True","True","cosine_sim=0.7719; method=short_substring_match; short_output=true; substring_match=true"
"What is the primary language of Egypt?","low","True","True","cosine_sim=0.9203"
"What is 100 divided by 4?","low","True","True","cosine_sim=1.0000"
"What organ pumps blood through the body?","low","true","true","cosine_sim=0.7601; method=short_substring_match; short_output=true; substring_match=true"
"How many degrees are in a right angle?","low","True","True","cosine_sim=0.9876"
"What is the capital of Italy?","low","True","True","cosine_sim=1.0000"
"Who discovered penicillin?","low","True","True","cosine_sim=0.8682"
"What is the hardest natural substance?","low","True","True","cosine_sim=0.8556"
"How many players are on a soccer team?","low","True","True","cosine_sim=0.7771; method=short_substring_match; short_output=true; substring_match=true"
"What is the atomic number of carbon?","low","True","True","cosine_sim=0.8846"
"What is the capital of Spain?","low","True","True","cosine_sim=1.0000"
"Explain how photosynthesis works in simple terms.","high","False","True","cosine_sim=0.6622; method=long_cosine; short_output=false; substring_match=false"
"What is the difference between weather and climate?","low","True","True","cosine_sim=0.9310"
"Describe what an API is to a non-technical person.","low","True","True","cosine_sim=0.9083"
"How does a refrigerator keep food cold?","low","True","True","cosine_sim=0.9014"
"Explain the concept of supply and demand.","low","True","True","cosine_sim=0.9016"
"What is machine learning in plain English?","low","True","True","cosine_sim=0.8609"
"Describe how vaccines help the immune system.","low","True","True","cosine_sim=0.9174"
"What is the difference between RAM and storage?","low","True","True","cosine_sim=0.9015"
"Explain how earthquakes happen.","low","True","True","cosine_sim=0.8920"
"What does inflation mean for everyday consumers?","high","False","True","cosine_sim=0.8199; method=long_cosine; short_output=false; substring_match=false"
"Describe the water cycle briefly.","low","True","True","cosine_sim=0.9623"
"How does GPS determine your location?","low","True","True","cosine_sim=0.9688"
"Explain what a database index does.","low","True","True","cosine_sim=0.9398"
"What is the difference between HTTP and HTTPS?","low","True","True","cosine_sim=0.9409"
"Describe how electric cars differ from gas cars.","low","True","True","cosine_sim=0.9022"
"Explain what a neural network is at a high level.","low","True","True","cosine_sim=0.9246"
"How do compilers turn code into programs?","high","False","True","cosine_sim=0.8287; method=long_cosine; short_output=false; substring_match=false"
"What is the purpose of a checksum?","low","True","True","cosine_sim=0.9274"
"Explain how interest rates affect borrowing costs.","high","False","True","cosine_sim=0.8203; method=long_cosine; short_output=false; substring_match=false"
"Describe what technical debt means in software.","low","True","True","cosine_sim=0.8740"
"How does public key encryption work conceptually?","low","True","True","cosine_sim=0.8896"
"Explain the difference between precision and recall.","low","True","True","cosine_sim=0.9232"
"What happens during a solar eclipse?","high","False","True","cosine_sim=0.7621; method=long_cosine; short_output=false; substring_match=false"
"Describe how load balancing improves web apps.","low","True","True","cosine_sim=0.8996"
"Explain what technical analysis means in finance.","low","True","True","cosine_sim=0.9220"
"How does a hash table provide fast lookups?","low","True","True","cosine_sim=0.8853"
"What is the difference between TCP and UDP?","low","True","True","cosine_sim=0.9380"
"Explain how a thermostat maintains temperature.","low","True","True","cosine_sim=0.9387"
"Describe what technical writing aims to accomplish.","low","True","True","cosine_sim=0.8781"
"How does caching reduce latency?","low","True","True","cosine_sim=0.9261"
"Explain the role of mitochondria in cells.","low","True","True","cosine_sim=0.8677"
"What is the difference between correlation and causation?","low","True","True","cosine_sim=0.9371"
"Describe how a CDN speeds up websites.","low","True","True","cosine_sim=0.8762"
"Explain what technical interviews typically assess.","low","True","True","cosine_sim=0.9275"
"How does noise cancellation work in headphones?","low","True","True","cosine_sim=0.9628"
"What is the difference between a stack and a queue?","low","True","True","cosine_sim=0.8682"
"Explain how solar panels generate electricity.","low","True","True","cosine_sim=0.9236"
"Describe what technical due diligence involves.","low","True","True","cosine_sim=0.9489"
"How does a bloom filter save memory?","low","True","True","cosine_sim=0.8887"
